,Date,Time,NotificationType,Description,Type,Location,lat,long
0,11/25/2020,20:49,EMERGENCY,"U of M Twin Cities: Attempted Robbery occurred at 8:14 pm at 1021 29th Ave. SE. Suspect is a male, 6’0” wearing a brown and black sweater and blue jeans. Suspect assaulted the victim and attempted to take his Xbox. Use caution, updates and safety tips at z.umn.edu/alerts",Attempted Robbery,1021 29th Ave. SE.,44.9891432,-93.2133609
1,11/23/2020,9:03,ADVISORY,"Update: The suspect from last night’s robbery near CMU was arrested by UMPD. He was identified with surveillance video and found near campus. 
 
 U of M Twin Cities: Robbery occurred at 10:15 pm near CMU, 300 Washington Ave SE, Suspect is a male, 30-35 years old, 5’10” and balding, wearing all black clothing. Use Caution, updates and safety tips at z.umn.edu/alerts",Robbery,Coffman Memorial Union,44.97308890000001,-93.2353746
2,11/23/2020,6:53,EMERGENCY,"U of M Twin Cities: Attempted Carjacking occurred at 6:30 am near Fulton/Ontario St SE. Suspect is a male, teen age, 5’10” thin build, wearing a black sweater, suspect displayed a handgun, Use caution, safety tip at z.umn.edu/alerts",Attempted Carjacking,Ontario St SE & Fulton St SE,44.9713667,-93.2256745
4,11/12/2020,14:28,EMERGENCY,U of M Twin Cities: UMPD responded to TCF Stadium UMPD has given the all clear Building business as usual updates and safety tips at z.umn.edu/alerts,Update,TCF Stadium,44.976525,-93.22454619999999
5,11/12/2020,13:29,EMERGENCY,U of M Twin Cities: UMPD is investigating a bomb threat at TCF Bank Stadium. Building is being evacuated. Please stay away from the area. Updates and safety tips at z.umn.edu/alerts,Bomb Threat,TCF Stadium,44.976525,-93.22454619999999
6,11/9/2020,13:16,ADVISORY,"The U of M Department of Public Safety just received the following information: Robbery at 8 pm on Sunday, November 8th, near 13th Ave Se and University Ave Se. A victim was assaulted by three male suspects. The suspects got out of a grey, older model car with tinted windows and approached the victim. There is a limited physical description of the suspects. They punched the victim, the victim in turn fought back and got free of the suspects. The victim believes this was a robbery attempt. Use Caution. Updates and safety tips at z.umn.edu/alerts",Robbery,13th Ave SE and University Ave Se,44.9800787,-93.2379619
7,10/27/2020,18:27,EMERGENCY,U of M Twin Cities: A robbery occurred in the area of 7th ST and 15th Ave Se. at 5:20 pm. Two male suspects between the ages of 15 to 20 pushed the victim to the ground and stole his cell phone. The suspects left west bound on 7th St. Se. in a white BMW SUV. Use caution. updates and safety tips at z.umn.edu/alerts,Robbery,7th St. and 15th Ave SE.,44.9828908,-93.2320718
8,10/7/2020,21:17,EMERGENCY,U of M Twin Cities: robbery of person at 9:13pm in/near 11/University Av Se. Suspect is a male long dark hair and grey pants driving a grey SUV. USE CAUTION updates and safety tips at z.umn.edu/alerts,Robbery,11th St. and University Ave SE,44.9811917,-93.2407453
9,10/5/2020,5:10,ADVISORY,"U of M Twin Cities: Robbery of a Dwelling occurred in the area of 10th Ave and University Ave. Se. at 3:48 am. The suspects two males, early 20's, one with a black sweatshirt with nike symbol broke into the back door of a residence, assaulted the victims and left. A knife was implied. Use caution. This is a MPD case. Updates and safety tips at z.umn.edu/alerts",Robbery,10th Ave and University Ave SE.,44.981565,-93.242367
11,10/2/2020,15:30,EMERGENCY,"U of M Twin Cities: Two Robberies occurred in the area of 29th and Como Ave Se. The first robbery occurred at 2:44 pm, the second shortly after. 2 male suspects, between 19 and 25 years old, one wearing a green jacket the other wearing a black hoodie. A gun was seen in one of the robberies. Use caution. Updates and safety tips at z.umn.edu/alerts",Robbery,29th and Como Ave SE.,44.9879973,-93.2126598
12,10/1/2020,7:29,ADVISORY,"U of M Twin Cities: A pattern of assaults occurred near 401 Oak St Se, the Oak Street Ramp, at 5 pm. Suspect is described as male with a beard, wearing a light brown cap, black and red plaid shirt, blue jeans and carrying a dark colored bag. Suspect was interrupted during a vehicle break in and assaulted a witness. Two other citizens were assaulted as the suspect fled the location. Be aware and use caution. Updates and safety tips at z.umn.edu/alerts",Assault,401 Oak St Se,44.972224,-93.22631
13,9/22/2020,2:23,EMERGENCY,"U of M Twin Cities: Robbery occurred at 1:30 am near 17th Ave Se and University Ave Se. Suspect was wearing a black hooded sweatshirt with yellow writing across the chest, blue pants, flip flops and medical style mask. Suspect used a gun. Be aware and use caution. Updates and tips at http://z.umn.edu/alerts.",Robbery,17th Ave Se and University Ave SE,44.9778644,-93.23243190000001
14,9/18/2020,23:21,EMERGENCY,U of M Twin Cities: Robbery at 10:40 pm near 14th Ave Se and University Ave Se. Suspect was wearing al black hooded sweatshirt and black pants. Suspect pointed a gun at the victim and stole the victim's money. This is an MPD case. Be aware and use caution. Updates and safety tips at z.umn.edu/alerts,Robbery,14th Ave SE and University Ave SE,44.9795275,-93.2365492
15,9/15/2020,15:26,EMERGENCY,"Robbery occurred near 5th St/21st Ave So. At 2:42 pm. Suspect male, 20 to 25, dark clothing used a gun and took victims purse. Suspect got into a Red BMW MN plate 109WTM driven by another male. The vehicle left the area East Bound. Be aware, use caution. updates and safety tips at z.umn.edu/alerts",Robbery,5th St and 21st Ave,44.937738,-93.2422833
16,9/14/2020,2:30,EMERGENCY,"U of M Twin Cities: Attempted Robbery at 1:30 am near 19th and Washington Ave S. Two suspects implied they had a gun, and tried to take the victim's vehicle. Suspects were described as: male, 20s, 5'8"", thin build, black hooded sweatshirt, jeans and a female, heavy set, 5'7""-5'8"". Be aware and use caution. This is an MPD incident. Updates and safety tips at z.umn.edu/alerts.",Attemped Robbery,19th and Washington Ave S.,44.9709416,-93.2459544
17,9/12/2020,18:57,EMERGENCY,"U of M Twin Cities: Robbery occurred at 6:30 pm near 14th Ave Se and 8th St Se. Two suspects, possibly in their teens, used a gun and took the victim's wallet and vehicle. The victim's vehicle is a Black BMW, MN plate EUM622. Be aware and use caution. This is an MPD incident. Updates and safety tips at z.umn.edu/alerts.",Robbery,14th Ave SE and 8th St SE.,44.9844222,-93.2326683
